Key,Title,Description,Status
2015JJ00,2015,Provisional figures,Voorlopig
2016JJ00,2016,Provisional figures,Voorlopig
2017JJ00,2017,Provisional figures,Voorlopig
2018JJ00,2018,Provisional figures,Voorlopig
2019JJ00,2019,Provisional figures,Voorlopig
2020JJ00,2020,Provisional figures,Voorlopig
