Key,Title,Description
A045844,Total Dutch airports,"Contents: Amsterdam Airport Schiphol, Rotterdam The Hague Airport, Eindhoven Airport, Maastricht Aachen Airport, Groningen Airport Eelde."
A043590,Amsterdam Airport Schiphol,
A043596,Rotterdam The Hague Airport,
A043591,Eindhoven Airport,
A043595,Maastricht Aachen Airport,
A043593,Groningen Airport Eelde,
